folder name,com vessels,com network,time,alpha,delay,pressure_drop,tau_c_f,tau_c_s,kp_constant_f,kp_constant_s,pt_50,pt_5,kn_constant_f,c_50,c_5,Number of iterations,delay pressure drop,time for pressure drop,R,k,final Q,final c
077,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.6,4.0,450001,15.0,15.0,1.0,0.1,0.007276794578814881,9.321622967289985
085,True,True,20.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,1001,15.0,15.0,1.0,0.1,0.89966961228605,
076,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.4000000000000001,-0.8,450001,15.0,15.0,1.0,0.1,0.005274509161092841,9.498928197740083
078,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.6,2.0,450001,15.0,15.0,1.0,0.1,0.00743553000542595,9.307849718397453
065,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.5,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.6953987808975682,1.2572309941015751
091,True,True,50.0,0.15,7.62,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,1.6,0.0016666666666666668,1.2,3.0,37500,5.0,5.0,1.0,0.1,0.4909448853766111,1.6922048829074463
062,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.6946542239241151,1.2584089717922684
054,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6460993816515099,1.3403046188265024
063,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.0004992362357615186,9.950313377420574
090,True,True,50.0,0.15,7.62,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,1.6,0.0016666666666666668,1.2,3.0,37500,5.0,5.0,1.0,0.1,0.5056022104750414,1.6512489423107042
064,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,8.0,0.05,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.00019795155030285177,9.980239568101014
087,True,True,60.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,3001,15.0,15.0,1.0,0.1,0.39120780615919604,
075,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.1,0.06,450001,15.0,15.0,1.0,0.1,0.02956633811097101,7.717931225723598
086,True,True,20.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,101,15.0,15.0,1.0,0.1,0.9033071978581556,
066,True,True,600.0,0.5,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,7.274994086609976e-05,9.99272867896276
059,True,True,600.0,0.5,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.01,-0.105,281251,15.0,15.0,1.0,0.1,0.6748881026160247,1.290508837594257
057,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.01,-0.105,281251,15.0,15.0,1.0,0.1,0.6872862041425867,1.2701860786846193
068,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.0942485901422413,5.147234352547427
067,True,True,600.0,0.8,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,8.469205032146258e-06,9.999152962970543
