,t,pressure_difference,phi,phi_min,R_tot,Q_tot,Q_norm,pt_averaged,kp_p,kp_n,Ap,Dp,kn_p,kn_n,An,Dn,c,dphidt,dApdt,dDpdt,dAndt,dDndt,dcdt
1213,3.2346666666666666,27.849864000000004,0.9958181849892181,0.8747542287510413,9.212313953139193e-06,3023112.775103574,0.8140634950473877,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.999999513139528,1.1937075341638127e-13,0.0016146438286064508,5.202283806021594e-05,0.9989146105364337,5.893481945729161e-07,1.0936869142584145,-0.010178494098664108,-1.4970269581996768e-07,7.370494651047901e-14,-0.0016132735442855118,1.7555158920908003e-06,0.18052191851306576
1214,3.2373333333333334,27.836192000000004,0.9957910423382884,0.8744831736526892,9.21234523229914e-06,3021618.415081138,0.8136610939352817,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995127403207,1.1956729994040922e-13,0.001615526099878378,5.114056678828888e-05,0.9989103084736489,5.940295702851583e-07,1.094168306041116,-0.010222550159792234,-1.4970136513580148e-07,7.376535673553912e-14,-0.0016141417689885865,1.7634136603366294e-06,0.18068516101782395
1215,3.2399999999999998,27.822520000000004,0.995763782204529,0.8742121120891467,9.212376651137116e-06,3020124.0194153124,0.8132586832251276,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995123411171,1.1976400755837065e-13,0.0016163946525316092,5.027201413505748e-05,0.9989060040955983,5.987320067127226e-07,1.0946501331371636,-0.010266702416264416,-1.4970003446347815e-07,7.38257664229561e-14,-0.0016149963639466589,1.7713077065525364e-06,0.18084863052115763
1216,3.2426666666666666,27.808848000000005,0.995736404331419,0.8739410440518869,9.212408210005145e-06,3018629.5880590896,0.8128562629042669,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995119419169,1.1996087626883185e-13,0.0016172496716843007,4.941699498236613e-05,0.9989016974386278,6.03455493930196e-07,1.0951323961518866,-0.010310950876284974,-1.4969870380299783e-07,7.388617557272992e-14,-0.0016158375134371582,1.7791980050447681e-06,0.18101232743288342
1217,3.2453333333333334,27.795175999999998,0.9957089084624156,0.8736699695323984,9.212439909255698e-06,3017135.120965544,0.8124538329600637,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995115427204,1.2015790607035912e-13,0.001618091340652238,4.857532601442875e-05,0.9988973885385919,6.082000219436486e-07,1.0956150956917077,-0.010355295548067977,-1.4969737315436034e-07,7.39465841848606e-14,-0.0016166653999333863,1.787084531785989e-06,0.1811762521635174
1218,3.2479999999999998,27.781504000000005,0.9956812943409541,0.873398888522186,9.212471749241695e-06,3015640.6180878417,0.8120513933799064,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995111435274,1.2035509696151876e-13,0.001618919840947073,4.774682571959371e-05,0.9988930774308588,6.12965580695078e-07,1.0960982323641437,-0.01039973643983695,-1.496960425175658e-07,7.400699225934816e-14,-0.0016174802041031174,1.7949672643776755e-06,0.1813404051248635
1219,3.2506666666666666,27.767832,0.9956535617104478,0.873127801012769,9.212503730316508e-06,3014146.079379226,0.8116489441512045,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995107443379,1.2055244894087702e-13,0.001619735352275267,4.693131439139973e-05,0.9988887641503145,6.177521600667517e-07,1.09658180677781,-0.010444273559825043,-1.496947118926142e-07,7.406739979619255e-14,-0.0016182821048078893,1.8028461820136569e-06,0.18150478672942505
1220,3.2533333333333334,27.75416,0.9956257103142883,0.8728567069956831,9.212535852833958e-06,3012651.5047930335,0.8112464852613924,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.999999510345152,1.207499620070002e-13,0.0016205380525377113,4.612861412895547e-05,0.9988844487313683,6.225597498854549e-07,1.0970658195424217,-0.010488906916274814,-1.496933812795055e-07,7.412780679539383e-14,-0.0016190712791029655,1.8107212654433286e-06,0.18166939739084897
1221,3.256,27.740488,0.9955977398958449,0.8725856064624788,9.212568117148326e-06,3011156.894282681,0.8108440166979263,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995099459696,1.209476361584546e-13,0.0016213281178300088,4.5338548836657835e-05,0.9988801312079574,6.273883399266371e-07,1.0975502712687972,-0.01053363651743837,-1.4969205067811638e-07,7.418821326255215e-14,-0.0016198479022379445,1.8185924969356346e-06,0.18183423752369254
1222,3.2586666666666666,27.726816,0.995569650198465,0.8723144994047223,9.212600523614347e-06,3009662.2478016703,0.810441538448285,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995095467908,1.211454713938214e-13,0.0016221057224433937,4.456094422327315e-05,0.9988758116135514,6.322379199184654e-07,1.0980351625688605,-0.010578462371577382,-1.496907200885701e-07,7.424861919206732e-14,-0.0016206121476579956,1.8264598602439538e-06,0.1819993075434012
